South Africa,Bangladesh,South Africa,200 runs,East London,Oct 22,http://stats.espncricinfo.com/ci/engine/match/1075506.html
Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,Oct 23,http://stats.espncricinfo.com/ci/engine/match/1120290.html
India,New Zealand,India,6 wickets,Pune,Oct 25,http://stats.espncricinfo.com/ci/engine/match/1120091.html
India,New Zealand,India,6 runs,Kanpur,Oct 29,http://stats.espncricinfo.com/ci/engine/match/1120092.html
P.N.G.,Scotland,Scotland,6 wickets,Dubai (DSC),Nov 24,http://stats.espncricinfo.com/ci/engine/match/1126321.html
P.N.G.,Scotland,Scotland,4 wickets,Dubai (DSC),Nov 25,http://stats.espncricinfo.com/ci/engine/match/1126323.html
Afghanistan,Ireland,Afghanistan,138 runs,Sharjah,Dec 5,http://stats.espncricinfo.com/ci/engine/match/1125472.html
Hong Kong,P.N.G.,Hong Kong,23 runs,ICCA Dubai,Dec 6,http://stats.espncricinfo.com/ci/engine/match/1124089.html
Afghanistan,Ireland,Ireland,51 runs,Sharjah,Dec 7,http://stats.espncricinfo.com/ci/engine/match/1125473.html
Hong Kong,P.N.G.,Hong Kong,93 runs,ICCA Dubai,Dec 8,http://stats.espncricinfo.com/ci/engine/match/1124090.html
India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,Dec 10,http://stats.espncricinfo.com/ci/engine/match/1122726.html
Afghanistan,Ireland,Ireland,5 wickets,Sharjah,Dec 10,http://stats.espncricinfo.com/ci/engine/match/1125474.html
India,Sri Lanka,India,141 runs,Mohali,Dec 13,http://stats.espncricinfo.com/ci/engine/match/1122727.html
India,Sri Lanka,India,8 wickets,Visakhapatnam,Dec 17,http://stats.espncricinfo.com/ci/engine/match/1122728.html
New Zealand,West Indies,New Zealand,5 wickets,Whangarei,Dec 20,http://stats.espncricinfo.com/ci/engine/match/1115795.html
New Zealand,West Indies,New Zealand,204 runs,Christchurch,Dec 23,http://stats.espncricinfo.com/ci/engine/match/1115796.html
New Zealand,West Indies,New Zealand,66 runs,Christchurch,Dec 26,http://stats.espncricinfo.com/ci/engine/match/1115797.html
