Team1:England,Team2:Australia,Winner:England,Margin:40 runs,Ground:Birmingham,Match Date:Jun 10, 2017,Scorecard Link:/ci/engine/match/1022365.html
Team1:India,Team2:South Africa,Winner:India,Margin:8 wickets,Ground:The Oval,Match Date:Jun 11, 2017,Scorecard Link:/ci/engine/match/1022367.html
Team1:West Indies,Team2:Afghanistan,Winner:West Indies,Margin:4 wickets,Ground:Gros Islet,Match Date:Jun 11, 2017,Scorecard Link:/ci/engine/match/1089780.html
Team1:Pakistan,Team2:Sri Lanka,Winner:Pakistan,Margin:3 wickets,Ground:Cardiff,Match Date:Jun 12, 2017,Scorecard Link:/ci/engine/match/1022369.html
Team1:England,Team2:Pakistan,Winner:Pakistan,Margin:8 wickets,Ground:Cardiff,Match Date:Jun 14, 2017,Scorecard Link:/ci/engine/match/1022371.html
Team1:West Indies,Team2:Afghanistan,Winner:no result,Margin: ,Ground:Gros Islet,Match Date:Jun 14, 2017,Scorecard Link:/ci/engine/match/1089781.html
Team1:Bangladesh,Team2:India,Winner:India,Margin:9 wickets,Ground:Birmingham,Match Date:Jun 15, 2017,Scorecard Link:/ci/engine/match/1022373.html
Team1:Scotland,Team2:Zimbabwe,Winner:Scotland,Margin:26 runs,Ground:Edinburgh,Match Date:Jun 15, 2017,Scorecard Link:/ci/engine/match/1089419.html
Team1:Scotland,Team2:Zimbabwe,Winner:Zimbabwe,Margin:6 wickets,Ground:Edinburgh,Match Date:Jun 17, 2017,Scorecard Link:/ci/engine/match/1089420.html
Team1:India,Team2:Pakistan,Winner:Pakistan,Margin:180 runs,Ground:The Oval,Match Date:Jun 18, 2017,Scorecard Link:/ci/engine/match/1022375.html
Team1:West Indies,Team2:India,Winner:no result,Margin: ,Ground:Port of Spain,Match Date:Jun 23, 2017,Scorecard Link:/ci/engine/match/1098206.html
Team1:West Indies,Team2:India,Winner:India,Margin:105 runs,Ground:Port of Spain,Match Date:Jun 25, 2017,Scorecard Link:/ci/engine/match/1098207.html
Team1:Sri Lanka,Team2:Zimbabwe,Winner:Zimbabwe,Margin:6 wickets,Ground:Galle,Match Date:Jun 30, 2017,Scorecard Link:/ci/engine/match/1104478.html
Team1:West Indies,Team2:India,Winner:India,Margin:93 runs,Ground:North Sound,Match Date:Jun 30, 2017,Scorecard Link:/ci/engine/match/1098208.html
Team1:Sri Lanka,Team2:Zimbabwe,Winner:Sri Lanka,Margin:7 wickets,Ground:Galle,Match Date:Jul 2, 2017,Scorecard Link:/ci/engine/match/1104479.html
Team1:West Indies,Team2:India,Winner:West Indies,Margin:11 runs,Ground:North Sound,Match Date:Jul 2, 2017,Scorecard Link:/ci/engine/match/1098209.html
Team1:Sri Lanka,Team2:Zimbabwe,Winner:Sri Lanka,Margin:8 wickets,Ground:Hambantota,Match Date:Jul 6, 2017,Scorecard Link:/ci/engine/match/1104480.html
Team1:West Indies,Team2:India,Winner:India,Margin:8 wickets,Ground:Kingston,Match Date:Jul 6, 2017,Scorecard Link:/ci/engine/match/1098210.html
Team1:Sri Lanka,Team2:Zimbabwe,Winner:Zimbabwe,Margin:4 wickets,Ground:Hambantota,Match Date:Jul 8, 2017,Scorecard Link:/ci/engine/match/1104481.html
Team1:Sri Lanka,Team2:Zimbabwe,Winner:Zimbabwe,Margin:3 wickets,Ground:Hambantota,Match Date:Jul 10, 2017,Scorecard Link:/ci/engine/match/1104482.html
